rank,archetype,score,hash16,formula_percent,source,process_tags,transformation,purification,self_healing,structure_strength,durability,bio_safety,energy_conversion,biomineralization,accessibility,testability,low_hazard,rule_rewriting,autocatalysis,closed_loop_learning,generativity,programmability,world_modeling,agency,feedback_gain,raw_density,matrix_like,mineral_like,sorbent_like,catalyst_like,energy_like,bio_process_like,engine_like,closed_loop_like,rule_editor_like,memory_like,components_json,notes_json
13,LAPIS_HEALER,0.6189826,0bb8f6944ed83cd0,ALGINATE_HYDROGEL=54.16%; GELATIN_COLLAGEN_TOKEN=18.95%; PVA_FILM=13.99%; CHITOSAN_BINDER=9.21%; CITRIC_ACID_SAFE_TOKEN=3.69%,random,EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE SELF_HEALING_LAYER,0.173082,0.282421,0.846708,0.401633,0.429791,0.877999,0.04191,0.212561,0.732245,0.738871,0.872547,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.471434,1.0,0,0,0,0,0,0,0,0,0,"{""ALGINATE_HYDROGEL"": 0.5415695420047315, ""PVA_FILM"": 0.13989679295256136, ""CHITOSAN_BINDER"": 0.09213491260186014, ""CITRIC_ACID_SAFE_TOKEN"": 0.036932573694076806, ""GELATIN_COLLAGEN_TOKEN"": 0.18946617874677027}","{""archetype"": ""LAPIS_HEALER"", ""archetype_description"": ""stone as healer: self-repair/damage recovery/biocompatibility"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
14,LAPIS_HEALER,0.58647349,6b750f7c9003468b,CHITOSAN_BINDER=40.71%; CLAY_PLATELET_BARRIER=22.56%; SILICA_BIOSILICA_SAFE=17.83%; ALGINATE_HYDROGEL=11.12%; PVA_FILM=7.77%,random,EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE SELF_HEALING_LAYER STONE_BODY,0.207555,0.588654,0.481683,0.706627,0.746696,0.849417,0.056362,0.178103,0.769363,0.734694,0.864969,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.771061,0.59606,0.629588,0,0,0,0,0,0,0,0,"{""CHITOSAN_BINDER"": 0.407139707703493, ""SILICA_BIOSILICA_SAFE"": 0.17829258648290522, ""ALGINATE_HYDROGEL"": 0.11119946455810331, ""PVA_FILM"": 0.07772067750232244, ""CLAY_PLATELET_BARRIER"": 0.22564756375317604}","{""archetype"": ""LAPIS_HEALER"", ""archetype_description"": ""stone as healer: self-repair/damage recovery/biocompatibility"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
15,LAPIS_STONE,0.65456667,239def6ddde9c40d,SILICA_BIOSILICA_SAFE=57.64%; TITANIUM_DIOXIDE_SAFE_TOKEN=30.37%; HYDROXYAPATITE_SAFE=5.6%; BACTERIAL_CELLULOSE_MATRIX=4.68%; MAGNESIUM_PHOSPHATE_SAFE=1.71%,mutated,ADSORBENT_CORE CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE RULE_REWRITE STONE_BODY WORLD_MODEL,0.499415,0.517541,0.096804,0.702684,0.981555,0.804865,0.35789,0.232738,0.794501,0.739559,0.822467,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.826621,0.046778,0.649509,0,0.607427,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.046777875858032524, ""HYDROXYAPATITE_SAFE"": 0.05598015674009623, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.017146143207987043, ""SILICA_BIOSILICA_SAFE"": 0.5763824657573452, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.30371335843653907}","{""archetype"": ""LAPIS_STONE"", ""archetype_description"": ""stone as body: durable structured matter"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
16,LAPIS_STONE,0.6545645,dd8d774921cf6dc2,SILICA_BIOSILICA_SAFE=58.64%; TITANIUM_DIOXIDE_SAFE_TOKEN=30.9%; BACTERIAL_CELLULOSE_MATRIX=4.76%; HYDROXYAPATITE_SAFE=3.95%; MAGNESIUM_PHOSPHATE_SAFE=1.74%,mutated,ADSORBENT_CORE CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE RULE_REWRITE STONE_BODY WORLD_MODEL,0.504061,0.514777,0.09542,0.704593,0.982574,0.803557,0.363315,0.219617,0.796495,0.739377,0.821465,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.821861,0.047592,0.643406,0,0.618003,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.047592360823300935, ""HYDROXYAPATITE_SAFE"": 0.03954311347665773, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.01744468767156269, ""SILICA_BIOSILICA_SAFE"": 0.5864182966708407, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3090015413576381}","{""archetype"": ""LAPIS_STONE"", ""archetype_description"": ""stone as body: durable structured matter"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
17,LAPIS_STONE,0.65337704,167076e4d1fcb566,SILICA_BIOSILICA_SAFE=56.47%; TITANIUM_DIOXIDE_SAFE_TOKEN=29.63%; MAGNESIUM_PHOSPHATE_SAFE=6.04%; BACTERIAL_CELLULOSE_MATRIX=5.66%; HYDROXYAPATITE_SAFE=2.2%,mutated,ADSORBENT_CORE CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE RULE_REWRITE STONE_BODY WORLD_MODEL,0.491924,0.51124,0.099113,0.704872,0.976886,0.805631,0.35034,0.241697,0.793234,0.737226,0.82285,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.794392,0.056606,0.647144,0,0.5925,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.05660593072698841, ""HYDROXYAPATITE_SAFE"": 0.02198199237027664, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.06044654536336105, ""SILICA_BIOSILICA_SAFE"": 0.5647153036840808, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.29625022785529315}","{""archetype"": ""LAPIS_STONE"", ""archetype_description"": ""stone as body: durable structured matter"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
18,LAPIS_STONE,0.65333747,a1820a166535f7f2,SILICA_BIOSILICA_SAFE=56.21%; TITANIUM_DIOXIDE_SAFE_TOKEN=29.46%; BACTERIAL_CELLULOSE_MATRIX=6.37%; MAGNESIUM_PHOSPHATE_SAFE=4.18%; HYDROXYAPATITE_SAFE=3.79%,mutated,ADSORBENT_CORE CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE RULE_REWRITE STONE_BODY WORLD_MODEL,0.490978,0.511329,0.102834,0.706416,0.973341,0.807281,0.349252,0.241374,0.793431,0.737975,0.824414,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.790017,0.063676,0.641755,0,0.589137,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.06367596801193354, ""HYDROXYAPATITE_SAFE"": 0.03790117239649435, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.04178569107970257, ""SILICA_BIOSILICA_SAFE"": 0.5620685627524008, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.29456860575946875}","{""archetype"": ""LAPIS_STONE"", ""archetype_description"": ""stone as body: durable structured matter"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
19,LAPIS_LIFE,0.61094855,3c829d85d58c748b,MYCELIUM_BINDER_TOKEN=48.65%; HYDROXYAPATITE_SAFE=33.45%; CALCIUM_CARBONATE_BIOMINERAL=12.99%; DIATOM_BIOSILICA_TOKEN=3.55%; BACTERIAL_CELLULOSE_MATRIX=1.37%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE WORLD_MODEL,0.297941,0.496561,0.472872,0.610554,0.704251,0.810006,0.047768,0.975885,0.569254,0.620149,0.801454,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.855444,0.500204,0.499796,0,0,0,0.521998,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.013677156276362307, ""DIATOM_BIOSILICA_TOKEN"": 0.03547087876654049, ""MYCELIUM_BINDER_TOKEN"": 0.4865272812650383, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.1298733029863971, ""HYDROXYAPATITE_SAFE"": 0.33445138070566177}","{""archetype"": ""LAPIS_LIFE"", ""archetype_description"": ""stone as life-compatible matter: biological interface"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
20,LAPIS_LIFE,0.61051323,7558931a40971caa,MYCELIUM_BINDER_TOKEN=47.66%; HYDROXYAPATITE_SAFE=34.64%; CALCIUM_CARBONATE_BIOMINERAL=12.82%; BACTERIAL_CELLULOSE_MATRIX=2.79%; DIATOM_BIOSILICA_TOKEN=2.08%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE WORLD_MODEL,0.296734,0.495134,0.470672,0.613014,0.70263,0.81356,0.04768,0.966719,0.578735,0.626974,0.805757,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.874395,0.504591,0.495409,0,0,0,0.497467,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.02794358100792068, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.1281669480907165, ""DIATOM_BIOSILICA_TOKEN"": 0.020819274808414463, ""HYDROXYAPATITE_SAFE"": 0.3464224615535207, ""MYCELIUM_BINDER_TOKEN"": 0.47664773453942766}","{""archetype"": ""LAPIS_LIFE"", ""archetype_description"": ""stone as life-compatible matter: biological interface"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
21,LAPIS_LIFE,0.61020327,874a79d7b6984c1e,MYCELIUM_BINDER_TOKEN=46.84%; HYDROXYAPATITE_SAFE=34.15%; CALCIUM_CARBONATE_BIOMINERAL=13.71%; DIATOM_BIOSILICA_TOKEN=3.04%; BACTERIAL_CELLULOSE_MATRIX=2.27%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE WORLD_MODEL,0.295337,0.493971,0.463817,0.612629,0.705023,0.813584,0.047695,0.973184,0.578505,0.626316,0.805744,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.885703,0.491035,0.508965,0,0,0,0.498752,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.022661407697552764, ""DIATOM_BIOSILICA_TOKEN"": 0.0303778497593176, ""MYCELIUM_BINDER_TOKEN"": 0.4683740678075852, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.13712605033202052, ""HYDROXYAPATITE_SAFE"": 0.34146062440352387}","{""archetype"": ""LAPIS_LIFE"", ""archetype_description"": ""stone as life-compatible matter: biological interface"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
22,LAPIS_LIFE,0.60977904,6fb680ec9ddbac96,MYCELIUM_BINDER_TOKEN=46.49%; HYDROXYAPATITE_SAFE=31.27%; CALCIUM_CARBONATE_BIOMINERAL=12.78%; DIATOM_BIOSILICA_TOKEN=5.94%; BACTERIAL_CELLULOSE_MATRIX=3.52%,crossover,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE WORLD_MODEL,0.296863,0.492704,0.466291,0.616716,0.704657,0.812626,0.049899,0.972481,0.567002,0.616948,0.803508,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.834892,0.500045,0.499955,0,0,0,0.524305,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.03518033993035266, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.12784241291802229, ""DIATOM_BIOSILICA_TOKEN"": 0.05944011148481641, ""HYDROXYAPATITE_SAFE"": 0.31267214756457296, ""MYCELIUM_BINDER_TOKEN"": 0.4648649881022357}","{""archetype"": ""LAPIS_LIFE"", ""archetype_description"": ""stone as life-compatible matter: biological interface"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
23,LAPIS_ENERGY,0.65554866,80de3ca26f398eea,CARBON_BLACK_SAFE_TOKEN=46.8%; TITANIUM_DIOXIDE_SAFE_TOKEN=33.91%; BIOCHAR_SAFE=11.23%; ACTIVATED_CARBON_SAFE=6.14%; PEDOT_PSS_SAFE_TOKEN=1.93%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE,0.658369,0.696158,0.041702,0.463737,0.863415,0.610009,0.764178,0.028536,0.722488,0.727973,0.645172,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.623644,0,0,0.815297,0.678115,0.506587,0,0,0,0,0,"{""CARBON_BLACK_SAFE_TOKEN"": 0.46802757764550684, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3390576797537475, ""BIOCHAR_SAFE"": 0.11225231247988764, ""PEDOT_PSS_SAFE_TOKEN"": 0.019279954317718572, ""ACTIVATED_CARBON_SAFE"": 0.06138247580313941}","{""archetype"": ""LAPIS_ENERGY"", ""archetype_description"": ""stone as spiritus: light/charge/energy conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
24,LAPIS_ENERGY,0.6546384,88e9f2aab5807e33,CARBON_BLACK_SAFE_TOKEN=46.16%; TITANIUM_DIOXIDE_SAFE_TOKEN=33.44%; BIOCHAR_SAFE=14.95%; ACTIVATED_CARBON_SAFE=3.55%; PEDOT_PSS_SAFE_TOKEN=1.9%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE,0.655457,0.700477,0.042634,0.464443,0.86168,0.610518,0.76233,0.029374,0.723488,0.727024,0.64586,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.612338,0,0,0.831559,0.668807,0.499634,0,0,0,0,0,"{""CARBON_BLACK_SAFE_TOKEN"": 0.4616031973569629, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3344036046980694, ""BIOCHAR_SAFE"": 0.14946448764266676, ""PEDOT_PSS_SAFE_TOKEN"": 0.01901530803532238, ""ACTIVATED_CARBON_SAFE"": 0.03551340226697849}","{""archetype"": ""LAPIS_ENERGY"", ""archetype_description"": ""stone as spiritus: light/charge/energy conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
25,LAPIS_ENERGY,0.45901984,840848c6d8b0c7a5,ZINC_OXIDE_SAFE_TOKEN=25.37%; SILICA_BIOSILICA_SAFE=21.53%; CARBON_BLACK_SAFE_TOKEN=19.58%; PVA_FILM=14.59%; ALGINATE_HYDROGEL=13.63%; ACTIVE_LEARNING_AUTOLAB=5.3%,random,EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE,0.379032,0.406258,0.282965,0.559744,0.734537,0.678179,0.382976,0.110108,0.717604,0.722751,0.740139,0.071601,0.063873,0.085503,0.05849,0.061755,0.062241,0.057517,0.083914,2.7013,0.282209,0.215294,0.195838,0.253691,0.195838,0,0.052967,0.052967,0,0,"{""PVA_FILM"": 0.1459032767026258, ""SILICA_BIOSILICA_SAFE"": 0.21529402841388035, ""CARBON_BLACK_SAFE_TOKEN"": 0.19583828106725093, ""ZINC_OXIDE_SAFE_TOKEN"": 0.25369121625807484, ""ALGINATE_HYDROGEL"": 0.13630590505442422, ""ACTIVE_LEARNING_AUTOLAB"": 0.05296729250374393}","{""archetype"": ""LAPIS_ENERGY"", ""archetype_description"": ""stone as spiritus: light/charge/energy conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
