rank,archetype,score,hash16,formula_percent,source,process_tags,transformation,purification,self_healing,structure_strength,durability,bio_safety,energy_conversion,biomineralization,accessibility,testability,low_hazard,rule_rewriting,autocatalysis,closed_loop_learning,generativity,programmability,world_modeling,agency,feedback_gain,raw_density,matrix_like,mineral_like,sorbent_like,catalyst_like,energy_like,bio_process_like,engine_like,closed_loop_like,rule_editor_like,memory_like,components_json,notes_json
26,LAPIS_BIOMINERAL,0.67893383,6f113e78da89c353,MYCELIUM_BINDER_TOKEN=43.46%; CALCIUM_CARBONATE_BIOMINERAL=29.96%; DIATOM_BIOSILICA_TOKEN=16.78%; BACTERIAL_CELLULOSE_MATRIX=5.78%; HYDROXYAPATITE_SAFE=4.03%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE SELF_HEALING_LAYER,0.289148,0.45334,0.449369,0.619331,0.698811,0.809785,0.054439,0.999847,0.57159,0.593251,0.800375,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.644702,0.492343,0.507657,0,0,0,0.602323,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.05778234082455969, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.2995567077184075, ""DIATOM_BIOSILICA_TOKEN"": 0.167762873920249, ""HYDROXYAPATITE_SAFE"": 0.04033791230263699, ""MYCELIUM_BINDER_TOKEN"": 0.4345601652341469}","{""archetype"": ""LAPIS_BIOMINERAL"", ""archetype_description"": ""stone grown from life: biomineral/living fabrication"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
27,LAPIS_BIOMINERAL,0.6788921,5704408f5b4f8fa7,MYCELIUM_BINDER_TOKEN=45.24%; DIATOM_BIOSILICA_TOKEN=22.99%; HYDROXYAPATITE_SAFE=17.57%; CALCIUM_CARBONATE_BIOMINERAL=10.33%; BACTERIAL_CELLULOSE_MATRIX=3.86%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE,0.299931,0.481924,0.464162,0.617981,0.706745,0.800969,0.058912,0.996734,0.496996,0.562961,0.78479,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.628627,0.491036,0.508964,0,0,0,0.682349,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.038607802738120325, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.10333816974648657, ""DIATOM_BIOSILICA_TOKEN"": 0.22992011410732394, ""HYDROXYAPATITE_SAFE"": 0.17570530813131077, ""MYCELIUM_BINDER_TOKEN"": 0.45242860527675843}","{""archetype"": ""LAPIS_BIOMINERAL"", ""archetype_description"": ""stone grown from life: biomineral/living fabrication"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
28,LAPIS_BIOMINERAL,0.67874416,745f048a985b6d3c,MYCELIUM_BINDER_TOKEN=44.15%; HYDROXYAPATITE_SAFE=22.66%; DIATOM_BIOSILICA_TOKEN=22.03%; CALCIUM_CARBONATE_BIOMINERAL=8.39%; BACTERIAL_CELLULOSE_MATRIX=2.78%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE,0.297815,0.484783,0.454772,0.614444,0.709559,0.802523,0.057932,0.99763,0.49835,0.568634,0.786561,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.694083,0.469269,0.530731,0,0,0,0.661708,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.027814375427653047, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.08385654436688908, ""DIATOM_BIOSILICA_TOKEN"": 0.22025332503567413, ""HYDROXYAPATITE_SAFE"": 0.22662150311624396, ""MYCELIUM_BINDER_TOKEN"": 0.4414542520535398}","{""archetype"": ""LAPIS_BIOMINERAL"", ""archetype_description"": ""stone grown from life: biomineral/living fabrication"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
29,LAPIS_BIOMINERAL,0.67844631,4780d65bd4e1b9da,MYCELIUM_BINDER_TOKEN=42.33%; DIATOM_BIOSILICA_TOKEN=30.47%; CALCIUM_CARBONATE_BIOMINERAL=12.91%; HYDROXYAPATITE_SAFE=7.4%; BACTERIAL_CELLULOSE_MATRIX=6.89%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE,0.29836,0.468708,0.455446,0.626071,0.705984,0.801185,0.063717,1,0.483346,0.545429,0.783112,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.527652,0.492182,0.507818,0,0,0,0.727999,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.06888891471208035, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.129072608802674, ""DIATOM_BIOSILICA_TOKEN"": 0.3047056427219157, ""HYDROXYAPATITE_SAFE"": 0.07403935321689041, ""MYCELIUM_BINDER_TOKEN"": 0.4232934805464395}","{""archetype"": ""LAPIS_BIOMINERAL"", ""archetype_description"": ""stone grown from life: biomineral/living fabrication"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
30,LAPIS_LOWHAZARD,0.68521207,e08d055d4f13bf65,BACTERIAL_CELLULOSE_MATRIX=50.19%; ZEOLITE_SAFE=48.94%; MAGNESIUM_PHOSPHATE_SAFE=0.83%; SILICA_BIOSILICA_SAFE=0.04%,mutated,CLOSED_LOOP EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE RULE_REWRITE,0.352493,0.739902,0.263916,0.721678,0.734804,0.875638,0.092197,0.20613,0.779206,0.749197,0.885434,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.72855,0.501939,0.498061,0.489374,0,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.5019388161438388, ""ZEOLITE_SAFE"": 0.4893739196197932, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.0082712642478809, ""SILICA_BIOSILICA_SAFE"": 0.00041599998848701106}","{""archetype"": ""LAPIS_LOWHAZARD"", ""archetype_description"": ""stone as safe path: non-toxic, accessible, testable"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
31,LAPIS_LOWHAZARD,0.68521159,421c1ef80f869807,BACTERIAL_CELLULOSE_MATRIX=49.98%; ZEOLITE_SAFE=49.1%; MAGNESIUM_PHOSPHATE_SAFE=0.83%; SILICA_BIOSILICA_SAFE=0.09%,mutated,BIOMINERALIZED CLOSED_LOOP EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE,0.35289,0.741496,0.263077,0.720999,0.735137,0.87534,0.092167,0.205549,0.779244,0.749292,0.885178,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,1.730213,0.49981,0.50019,0.490973,0,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.49980995432599623, ""ZEOLITE_SAFE"": 0.49097324146566484, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.008298295548639409, ""SILICA_BIOSILICA_SAFE"": 0.000918508659699556}","{""archetype"": ""LAPIS_LOWHAZARD"", ""archetype_description"": ""stone as safe path: non-toxic, accessible, testable"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
32,LAPIS_LOWHAZARD,0.64129742,05dccd4640abb3ba,CITRIC_ACID_SAFE_TOKEN=25.4%; CLAY_PLATELET_BARRIER=24.1%; MAGNESIUM_PHOSPHATE_SAFE=24.08%; GELATIN_COLLAGEN_TOKEN=12.08%; SILICA_BIOSILICA_SAFE=8.68%; ALGINATE_HYDROGEL=5.67%,random,ADSORBENT_CORE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE,0.207633,0.422557,0.297818,0.581904,0.703,0.85254,0.038068,0.325823,0.826702,0.739347,0.863039,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,2.076622,0.431504,0.809472,0,0,0,0,0,0,0,0,"{""GELATIN_COLLAGEN_TOKEN"": 0.12081340079912599, ""ALGINATE_HYDROGEL"": 0.05673848919543866, ""CLAY_PLATELET_BARRIER"": 0.2409757883666188, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.24076930141184194, ""CITRIC_ACID_SAFE_TOKEN"": 0.25395220957484244, ""SILICA_BIOSILICA_SAFE"": 0.0867508106521322}","{""archetype"": ""LAPIS_LOWHAZARD"", ""archetype_description"": ""stone as safe path: non-toxic, accessible, testable"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
33,LAPIS_DEMIURGE,0.84647058,a46beca3e3fbfb81,ACTIVE_LEARNING_AUTOLAB=54.95%; SCORING_FUNCTION_MUTATOR=27.76%; GPT_TRANSFORMER_ENGINE=13.28%; EXPERT_REVIEW_GATE=3.15%; KNOWLEDGE_GRAPH_MEMORY=0.87%,mutated,CLOSED_LOOP CONDUCTIVE_TRACE DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE RULE_REWRITE WORLD_MODEL,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.752676,0.91116,0.879132,0.76743,0.95374,0.766089,0.863936,0.760095,0.763068,0.974033,1.0,0,0,0,0,0,0,1.0,0.549467,0.277598,0.008689,"{""GPT_TRANSFORMER_ENGINE"": 0.13276436247272763, ""ACTIVE_LEARNING_AUTOLAB"": 0.5494669962761048, ""SCORING_FUNCTION_MUTATOR"": 0.2775976519142055, ""KNOWLEDGE_GRAPH_MEMORY"": 0.008688738769319474, ""EXPERT_REVIEW_GATE"": 0.03148225056764255}","{""archetype"": ""LAPIS_DEMIURGE"", ""archetype_description"": ""stone as engine: self-improving discovery loop that changes the search space"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
34,LAPIS_DEMIURGE,0.71725805,e2f5fcbf9ebcef7f,EXPERT_REVIEW_GATE=26.54%; KNOWLEDGE_GRAPH_MEMORY=26.2%; GPT_TRANSFORMER_ENGINE=19.2%; SCORING_FUNCTION_MUTATOR=17.61%; ACTIVE_LEARNING_AUTOLAB=10.44%,random,CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE RULE_REWRITE,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.824668,0.941698,0.728123,0.481966,0.76461,0.647586,0.800361,0.786588,0.523452,0.846247,1.0,0,0,0,0,0,0,1.0,0.104407,0.176112,0.261999,"{""GPT_TRANSFORMER_ENGINE"": 0.19204246719641135, ""ACTIVE_LEARNING_AUTOLAB"": 0.10440748168857436, ""SCORING_FUNCTION_MUTATOR"": 0.1761119615329226, ""KNOWLEDGE_GRAPH_MEMORY"": 0.2619985986489396, ""EXPERT_REVIEW_GATE"": 0.26543949093315217}","{""archetype"": ""LAPIS_DEMIURGE"", ""archetype_description"": ""stone as engine: self-improving discovery loop that changes the search space"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
35,LAPIS_DEMIURGE,0.76940705,596fcc4c0e63a0b9,SCORING_FUNCTION_MUTATOR=28.86%; KNOWLEDGE_GRAPH_MEMORY=19.47%; GPT_TRANSFORMER_ENGINE=19.02%; JANUS_SYMBOLIC_INTERPRETER=12.28%; ACTIVE_LEARNING_AUTOLAB=10.56%; EXPERT_REVIEW_GATE=9.82%,random,CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE RULE_REWRITE,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.768433,0.932074,0.834659,0.566211,0.756636,0.785807,0.831494,0.779851,0.644229,0.786134,1.0,0,0,0,0,0,0,1.0,0.105552,0.288635,0.194659,"{""GPT_TRANSFORMER_ENGINE"": 0.19022221955811175, ""ACTIVE_LEARNING_AUTOLAB"": 0.10555150540815061, ""SCORING_FUNCTION_MUTATOR"": 0.2886348509990065, ""KNOWLEDGE_GRAPH_MEMORY"": 0.19465935359846442, ""EXPERT_REVIEW_GATE"": 0.09816143105801207, ""JANUS_SYMBOLIC_INTERPRETER"": 0.12277063937825469}","{""archetype"": ""LAPIS_DEMIURGE"", ""archetype_description"": ""stone as engine: self-improving discovery loop that changes the search space"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
36,LAPIS_WORLD_REWRITER,0.84099248,9592c3bcc3d286a0,ACTIVE_LEARNING_AUTOLAB=47.48%; SCORING_FUNCTION_MUTATOR=39.55%; GPT_TRANSFORMER_ENGINE=8.89%; EXPERT_REVIEW_GATE=3.04%; KNOWLEDGE_GRAPH_MEMORY=1.04%,crossover,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SEARCH_SPACE_EDITOR WORLD_MODEL,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.744649,0.91264,0.921372,0.768074,0.923267,0.742199,0.863246,0.744357,0.786162,0.949674,1.0,0,0,0,0,0,0,1.0,0.474751,0.395546,0.010427,"{""ACTIVE_LEARNING_AUTOLAB"": 0.4747512578998349, ""EXPERT_REVIEW_GATE"": 0.03036475165655643, ""GPT_TRANSFORMER_ENGINE"": 0.08891042497819597, ""KNOWLEDGE_GRAPH_MEMORY"": 0.010427138427824691, ""SCORING_FUNCTION_MUTATOR"": 0.39554642703758797}","{""archetype"": ""LAPIS_WORLD_REWRITER"", ""archetype_description"": ""stone as world-rewriter: rule-editing generative system, not a passive material"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
37,LAPIS_WORLD_REWRITER,0.72013591,2e4f1cb6fbb42c1d,GPT_TRANSFORMER_ENGINE=28.94%; EXPERT_REVIEW_GATE=28.63%; ACTIVE_LEARNING_AUTOLAB=24.15%; SCORING_FUNCTION_MUTATOR=9.45%; KNOWLEDGE_GRAPH_MEMORY=8.83%,random,CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE RULE_REWRITE SEARCH_SPACE_EDITOR WORLD_MODEL,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.821588,0.935001,0.724955,0.5139,0.764306,0.73204,0.804473,0.748379,0.545557,0.897412,1.0,0,0,0,0,0,0,1.0,0.241457,0.094504,0.088313,"{""GPT_TRANSFORMER_ENGINE"": 0.28938193255971095, ""ACTIVE_LEARNING_AUTOLAB"": 0.2414572682964877, ""SCORING_FUNCTION_MUTATOR"": 0.09450411433042662, ""KNOWLEDGE_GRAPH_MEMORY"": 0.08831302796434845, ""EXPERT_REVIEW_GATE"": 0.28634365684902624}","{""archetype"": ""LAPIS_WORLD_REWRITER"", ""archetype_description"": ""stone as world-rewriter: rule-editing generative system, not a passive material"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
38,LAPIS_WORLD_REWRITER,0.74856459,ede77d1cf02dc03e,ACTIVE_LEARNING_AUTOLAB=24.62%; EXPERT_REVIEW_GATE=20.23%; SCORING_FUNCTION_MUTATOR=16.47%; GPT_TRANSFORMER_ENGINE=13.57%; KNOWLEDGE_GRAPH_MEMORY=12.79%; JANUS_SYMBOLIC_INTERPRETER=12.31%,random,CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE RULE_REWRITE SEARCH_SPACE_EDITOR WORLD_MODEL,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.789193,0.933516,0.787551,0.571619,0.792008,0.708513,0.804144,0.762189,0.614344,0.876573,1.0,0,0,0,0,0,0,1.0,0.246176,0.164731,0.127941,"{""GPT_TRANSFORMER_ENGINE"": 0.135709997730235, ""ACTIVE_LEARNING_AUTOLAB"": 0.24617597621594423, ""SCORING_FUNCTION_MUTATOR"": 0.16473126700430343, ""KNOWLEDGE_GRAPH_MEMORY"": 0.12794064344488637, ""EXPERT_REVIEW_GATE"": 0.20231443407194039, ""JANUS_SYMBOLIC_INTERPRETER"": 0.12312768153269066}","{""archetype"": ""LAPIS_WORLD_REWRITER"", ""archetype_description"": ""stone as world-rewriter: rule-editing generative system, not a passive material"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
