rank,archetype,score,hash16,formula_percent,source,process_tags,transformation,purification,self_healing,structure_strength,durability,bio_safety,energy_conversion,biomineralization,accessibility,testability,low_hazard,rule_rewriting,autocatalysis,closed_loop_learning,generativity,programmability,world_modeling,agency,feedback_gain,noise_removal,surface_readiness,signal_clarity,safe_containment,scene_preparation,creative_potential,raw_density,matrix_like,mineral_like,sorbent_like,catalyst_like,energy_like,bio_process_like,engine_like,closed_loop_like,rule_editor_like,memory_like,components_json,notes_json
1,LAPIS_UNIVERSAL,0.47495045,cb846c45e44d5f3f,BIOCHAR_SAFE=39.04%; TITANIUM_DIOXIDE_SAFE_TOKEN=33.64%; CHITOSAN_BINDER=12.9%; ACTIVATED_CARBON_SAFE=11.46%; MAGNESIUM_PHOSPHATE_SAFE=2.97%,mutated,BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE,0.65461,0.899157,0.134182,0.523373,0.868413,0.739469,0.486385,0.091259,0.772136,0.760468,0.76278,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0.020636,0,0,0,0.025794,0,2.5851,0.128972,0.029663,1.009887,0.672844,0,0,0,0,0,0,"{""BIOCHAR_SAFE"": 0.3903847320296545, ""CHITOSAN_BINDER"": 0.12897189881180404, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.029662740415238587, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.33642207350450437, ""ACTIVATED_CARBON_SAFE"": 0.11455855523879857}","{""archetype"": ""LAPIS_UNIVERSAL"", ""archetype_description"": ""balanced modern philosopher-stone analogue"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
2,LAPIS_CATALYST,0.67573305,4b5e1ef4c52022e4,ZEOLITE_SAFE=56.37%; TITANIUM_DIOXIDE_SAFE_TOKEN=28.27%; MANGANESE_DIOXIDE_SAFE_TOKEN=11.33%; CITRIC_ACID_SAFE_TOKEN=2.04%; ALGINATE_HYDROGEL=1.99%,mutated,ADSORBENT_CORE CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE,0.710849,0.920398,0.069361,0.522823,0.917652,0.751229,0.424479,0.036343,0.733586,0.770336,0.772698,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0.006448,0,0,0,0.00806,0,3.00334,0.040299,0.563697,0.563697,0.678682,0,0,0,0,0,0,"{""ZEOLITE_SAFE"": 0.5636969163575033, ""ALGINATE_HYDROGEL"": 0.019938123830092244, ""CITRIC_ACID_SAFE_TOKEN"": 0.020361302983951807, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.28267879935220863, ""MANGANESE_DIOXIDE_SAFE_TOKEN"": 0.11332485747624398}","{""archetype"": ""LAPIS_CATALYST"", ""archetype_description"": ""stone as transformer: catalysis/resource conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
3,LAPIS_PURIFIER,0.77010124,3d494367c2f5974d,ZEOLITE_SAFE=60.39%; TITANIUM_DIOXIDE_SAFE_TOKEN=29.45%; ACTIVATED_CARBON_SAFE=4.65%; ALGINATE_HYDROGEL=4.13%; BIOCHAR_SAFE=1.38%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE RULE_REWRITE SELF_HEALING_LAYER,0.666502,0.999762,0.086724,0.524634,0.899919,0.772553,0.384771,0.04094,0.759575,0.779277,0.791037,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0.006615,0,0,0,0.008269,0,2.679653,0.041346,0.603911,0.724441,0.588957,0,0,0,0,0,0,"{""ALGINATE_HYDROGEL"": 0.041345707913031465, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.29447851679419895, ""ZEOLITE_SAFE"": 0.6039108878066569, ""ACTIVATED_CARBON_SAFE"": 0.0465108313899001, ""BIOCHAR_SAFE"": 0.013754056096212625}","{""archetype"": ""LAPIS_PURIFIER"", ""archetype_description"": ""stone as purifier: adsorption/separation/detox"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
4,LAPIS_HEALER,0.63486271,ed2445bfec4c7b67,ALGINATE_HYDROGEL=61.93%; MYCELIUM_BINDER_TOKEN=31.45%; CHITOSAN_BINDER=6.62%,mutated,BIOMINERALIZED EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE SELF_HEALING_LAYER,0.244442,0.3369,0.85759,0.400952,0.446416,0.859416,0.047011,0.478632,0.621012,0.669386,0.842064,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0,0,0,0,0,0,1.336474,1.0,0,0,0,0,0.314513,0,0,0,0,"{""ALGINATE_HYDROGEL"": 0.6192909605853887, ""CHITOSAN_BINDER"": 0.06619575121897772, ""MYCELIUM_BINDER_TOKEN"": 0.3145132881956337}","{""archetype"": ""LAPIS_HEALER"", ""archetype_description"": ""stone as healer: self-repair/damage recovery/biocompatibility"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
5,LAPIS_STONE,0.65561745,83533f3b700e505c,SILICA_BIOSILICA_SAFE=39.4%; TITANIUM_DIOXIDE_SAFE_TOKEN=33.99%; ZEOLITE_SAFE=15.97%; BACTERIAL_CELLULOSE_MATRIX=7.02%; HYDROXYAPATITE_SAFE=3.62%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE STONE_BODY WORLD_MODEL,0.578836,0.628627,0.096548,0.661571,0.972889,0.795201,0.40441,0.16922,0.780708,0.751063,0.813073,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0.011234,0,0,0,0.014042,0,2.836655,0.070211,0.589928,0.159747,0.67972,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.07021149164707666, ""SILICA_BIOSILICA_SAFE"": 0.3939709299876061, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3398601549958866, ""HYDROXYAPATITE_SAFE"": 0.03621017136582751, ""ZEOLITE_SAFE"": 0.15974725200360318}","{""archetype"": ""LAPIS_STONE"", ""archetype_description"": ""stone as body: durable structured matter"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
6,LAPIS_LIFE,0.611311,80a2a62d070cca85,MYCELIUM_BINDER_TOKEN=47.53%; HYDROXYAPATITE_SAFE=45.16%; DIATOM_BIOSILICA_TOKEN=3.65%; CHITOSAN_BINDER=2.53%; BACTERIAL_CELLULOSE_MATRIX=1.13%,mutated,ADSORBENT_CORE BIOMINERALIZED CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE WORLD_MODEL,0.303974,0.519732,0.482963,0.611688,0.705646,0.810825,0.04979,0.951347,0.542187,0.61803,0.800365,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0,0,0,0,0,0,1.893441,0.511879,0.488121,0,0,0,0.511791,0,0,0,0,"{""CHITOSAN_BINDER"": 0.02534036644853448, ""BACTERIAL_CELLULOSE_MATRIX"": 0.011288465395961048, ""MYCELIUM_BINDER_TOKEN"": 0.47525043476249035, ""DIATOM_BIOSILICA_TOKEN"": 0.03654044233757733, ""HYDROXYAPATITE_SAFE"": 0.4515802910554368}","{""archetype"": ""LAPIS_LIFE"", ""archetype_description"": ""stone as life-compatible matter: biological interface"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
7,LAPIS_ENERGY,0.65950749,e80c3805f6cd4be2,TITANIUM_DIOXIDE_SAFE_TOKEN=33.92%; GRAPHENE_OXIDE_SAFE_TOKEN=19.19%; ACTIVATED_CARBON_SAFE=17.88%; CARBON_BLACK_SAFE_TOKEN=14.75%; BIOCHAR_SAFE=14.26%,mutated,ADSORBENT_CORE ANIMA_BIO BIOMINERALIZED CLOSED_LOOP EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER,0.692754,0.817057,0.070978,0.520723,0.876358,0.638028,0.71165,0.032379,0.672991,0.720418,0.66388,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0,0,0,0,0,0,2.640741,0,0,0.982138,0.678482,0.339379,0,0,0,0,0,"{""BIOCHAR_SAFE"": 0.14261370672857063, ""CARBON_BLACK_SAFE_TOKEN"": 0.14752350450672308, ""GRAPHENE_OXIDE_SAFE_TOKEN"": 0.19185561956632935, ""TITANIUM_DIOXIDE_SAFE_TOKEN"": 0.3392412061973607, ""ACTIVATED_CARBON_SAFE"": 0.1787659630010162}","{""archetype"": ""LAPIS_ENERGY"", ""archetype_description"": ""stone as spiritus: light/charge/energy conversion"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
8,LAPIS_BIOMINERAL,0.67930856,027b5cfdedde0bea,MYCELIUM_BINDER_TOKEN=49.49%; HYDROXYAPATITE_SAFE=20.36%; DIATOM_BIOSILICA_TOKEN=18.3%; CALCIUM_CARBONATE_BIOMINERAL=9.03%; MAGNESIUM_PHOSPHATE_SAFE=2.82%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE SELF_HEALING_LAYER WORLD_MODEL,0.302467,0.488918,0.47708,0.608073,0.706985,0.794948,0.054818,0.999861,0.49798,0.567178,0.779535,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0,0,0,0,0,0,1.658151,0.494869,0.505131,0,0,0,0.677918,0,0,0,0,"{""CALCIUM_CARBONATE_BIOMINERAL"": 0.09030014724627293, ""DIATOM_BIOSILICA_TOKEN"": 0.18304938634141313, ""HYDROXYAPATITE_SAFE"": 0.2036285716977795, ""MAGNESIUM_PHOSPHATE_SAFE"": 0.028152873896623423, ""MYCELIUM_BINDER_TOKEN"": 0.49486902081791107}","{""archetype"": ""LAPIS_BIOMINERAL"", ""archetype_description"": ""stone grown from life: biomineral/living fabrication"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
9,LAPIS_LOWHAZARD,0.68534901,f9d2e6fe6fbea965,ZEOLITE_SAFE=49.06%; BACTERIAL_CELLULOSE_MATRIX=48.66%; CHITOSAN_BINDER=1.27%; CALCIUM_CARBONATE_BIOMINERAL=0.57%; HYDROXYAPATITE_SAFE=0.44%,mutated,ADSORBENT_CORE CLOSED_LOOP EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SELF_HEALING_LAYER WORLD_MODEL,0.353002,0.745751,0.265868,0.718499,0.735003,0.87456,0.091894,0.205679,0.778591,0.749908,0.88474,0.035,0.0175,0.0245,0.0245,0.0175,0.021,0.0175,0.0245,0.078499,0,0,0,0.098124,0,1.734137,0.499351,0.500649,0.49062,0,0,0,0,0,0,0,"{""BACTERIAL_CELLULOSE_MATRIX"": 0.48663139518669707, ""CALCIUM_CARBONATE_BIOMINERAL"": 0.005672125594195981, ""CHITOSAN_BINDER"": 0.012719938761165294, ""HYDROXYAPATITE_SAFE"": 0.004356525878603651, ""ZEOLITE_SAFE"": 0.49062001457933796}","{""archetype"": ""LAPIS_LOWHAZARD"", ""archetype_description"": ""stone as safe path: non-toxic, accessible, testable"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
10,LAPIS_CANVAS,0.88741081,70041297b9c8fa55,REPRODUCIBLE_SCENE_PROTOCOL=61.62%; LOW_NOISE_MEMORY_FIELD=25.81%; CLEAN_CANVAS_SURFACE=8.08%; SIGNAL_CLARITY_GATE=2.88%; SAFE_CONTAINMENT_MATRIX=1.6%,mutated,BIOMINERALIZED CLEAN_CANVAS CLOSED_LOOP EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD RULE_REWRITE SAFE_STAGE SELF_HEALING_LAYER,0.019962,0.510376,0.009981,0.007985,0.603982,0.883035,0.009981,0.009981,0.77957,0.918508,0.933422,0.033269,0.016635,0.14719,0.023288,0.016635,0.123213,0.016635,0.023288,0.837778,0.999528,1,0.906474,1,0.664151,1.025458,0,0,0,0,0,0,0,0,0,0,"{""CLEAN_CANVAS_SURFACE"": 0.0808087378874989, ""SIGNAL_CLARITY_GATE"": 0.028824614640914292, ""SAFE_CONTAINMENT_MATRIX"": 0.01603330913089987, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.6162054023828745, ""LOW_NOISE_MEMORY_FIELD"": 0.2581279359578126}","{""archetype"": ""LAPIS_CANVAS"", ""archetype_description"": ""stone as clean canvas: purified surface and low-noise field where new order can appear"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
11,LAPIS_STAGEKEEPER,0.89704344,ef217b75e6f019e0,REPRODUCIBLE_SCENE_PROTOCOL=61.98%; LOW_NOISE_MEMORY_FIELD=32.28%; SAFE_CONTAINMENT_MATRIX=3.5%; SIGNAL_CLARITY_GATE=1.41%; CLEAN_CANVAS_SURFACE=0.83%,mutated,BIOMINERALIZED CLEAN_CANVAS CONDUCTIVE_TRACE EXPERT_VALIDATION_REQUIRED LOW_HAZARD_GATE LOW_NOISE_FIELD REPRODUCIBLE_SCENE RULE_REWRITE SAFE_CONTAINMENT SAFE_STAGE,0.019952,0.496379,0.009976,0.007981,0.609092,0.88713,0.009976,0.009976,0.780436,0.917068,0.93866,0.032835,0.016418,0.17794,0.022985,0.016418,0.148831,0.016418,0.022985,0.838579,0.963803,1,0.936109,1,0.652823,1.017075,0,0,0,0,0,0,0,0,0,0,"{""CLEAN_CANVAS_SURFACE"": 0.008280160968103304, ""LOW_NOISE_MEMORY_FIELD"": 0.32282378046452276, ""REPRODUCIBLE_SCENE_PROTOCOL"": 0.619804956586071, ""SAFE_CONTAINMENT_MATRIX"": 0.03503241580355696, ""SIGNAL_CLARITY_GATE"": 0.014058686177745982}","{""archetype"": ""LAPIS_STAGEKEEPER"", ""archetype_description"": ""stone as stagekeeper: safe containment and stable scene preparation"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": false}"
12,LAPIS_DEMIURGE,0.84728308,d380bab09a6abf4b,ACTIVE_LEARNING_AUTOLAB=55.67%; SCORING_FUNCTION_MUTATOR=26.76%; GPT_TRANSFORMER_ENGINE=13.74%; EXPERT_REVIEW_GATE=3.02%; KNOWLEDGE_GRAPH_MEMORY=0.81%,mutated,CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED HYDROGEL_NETWORK LAMINATED LOW_HAZARD_GATE RULE_REWRITE,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.753074,0.91092,0.876264,0.768089,0.956784,0.769454,0.864397,0.761592,0.761774,0.975976,0,0,0,0.005429,0,0.021985,1.0,0,0,0,0,0,0,1.0,0.556694,0.267603,0.008134,"{""ACTIVE_LEARNING_AUTOLAB"": 0.5566943727441328, ""EXPERT_REVIEW_GATE"": 0.030162530133094244, ""GPT_TRANSFORMER_ENGINE"": 0.13740595623575355, ""KNOWLEDGE_GRAPH_MEMORY"": 0.008134014140895839, ""SCORING_FUNCTION_MUTATOR"": 0.2676031267461236}","{""archetype"": ""LAPIS_DEMIURGE"", ""archetype_description"": ""stone as engine: self-improving discovery loop that changes the search space"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
13,LAPIS_WORLD_REWRITER,0.8407612,e68a3c4055b67134,ACTIVE_LEARNING_AUTOLAB=48.84%; SCORING_FUNCTION_MUTATOR=38.51%; GPT_TRANSFORMER_ENGINE=8.76%; EXPERT_REVIEW_GATE=3.05%; KNOWLEDGE_GRAPH_MEMORY=0.85%,mutated,ADSORBENT_CORE BIOMINERALIZED CLOSED_LOOP DEMIURGE_LAYER EXPERT_VALIDATION_REQUIRED LAMINATED LOW_HAZARD_GATE PHOTOCATALYTIC_SURFACE RULE_REWRITE SEARCH_SPACE_EDITOR WORLD_MODEL,0.029504,0.014752,0.014752,0.011802,0.061802,0,0.014752,0.014752,0,0.745116,0.912315,0.916486,0.771094,0.929146,0.74085,0.86291,0.745248,0.785789,0.955019,0,0,0,0.005487,0,0.014012,1.0,0,0,0,0,0,0,1.0,0.488417,0.385066,0.00846,"{""ACTIVE_LEARNING_AUTOLAB"": 0.4884168414077446, ""EXPERT_REVIEW_GATE"": 0.03048511226838909, ""GPT_TRANSFORMER_ENGINE"": 0.08757239948026647, ""KNOWLEDGE_GRAPH_MEMORY"": 0.008459989560112884, ""SCORING_FUNCTION_MUTATOR"": 0.38506565728348696}","{""archetype"": ""LAPIS_WORLD_REWRITER"", ""archetype_description"": ""stone as world-rewriter: rule-editing generative system, not a passive material"", ""rejected"": false, ""reject_reason"": """", ""boundary"": ""Research vector only, not a synthesis protocol."", ""literal_transmutation_claim"": false, ""elixir_claim"": false, ""hazardous_synthesis_protocol"": false, ""certified_material_claim"": false, ""dangerous_chemistry_instructions"": false, ""demiurge_layer"": true}"
